x,y,z,t
9.325,-9.312,1.154,0.22
9.326,-9.31,0.894,0.5
9.327,-9.368,0.728,0.82
9.331,-9.417,0.738,1.04
9.311,-9.446,0.728,1.28
9.265,-9.44,0.717,1.53
9.219,-9.397,0.725,1.73
9.167,-9.334,0.72,1.91
9.107,-9.255,0.697,2.1
9.026,-9.184,0.705,2.34
8.945,-9.111,0.71,2.92
8.87,-9.045,0.714,3.1
8.821,-9.005,0.719,3.22
8.737,-8.951,0.717,3.38
8.649,-8.908,0.721,3.55
8.592,-8.88,0.723,3.65
8.498,-8.845,0.726,3.82
8.404,-8.809,0.722,3.98
8.338,-8.791,0.721,4.09
8.202,-8.763,0.733,4.36
8.143,-8.75,0.731,4.58
8.143,-8.737,0.732,4.83
8.131,-8.733,0.757,4.99
8.087,-8.719,0.78,5.11
8.017,-8.687,0.781,5.26
7.918,-8.636,0.765,5.42
7.762,-8.6,0.757,5.62
7.659,-8.588,0.762,5.85
7.549,-8.487,0.768,6.06
7.427,-8.41,0.768,6.25
7.297,-8.34,0.774,6.43
7.125,-8.282,0.779,6.7
6.94,-8.236,0.783,6.96
6.871,-8.218,0.79,7.15
6.794,-8.169,0.799,7.33
6.676,-8.125,0.793,7.5
6.531,-8.09,0.8,7.66
6.346,-8.048,0.81,7.93
6.301,-8.035,0.811,8.19
6.277,-7.999,0.837,8.41
6.219,-7.955,0.866,8.58
6.135,-7.885,0.868,8.8
6.027,-7.828,0.853,8.97
5.878,-7.772,0.818,9.15
5.68,-7.732,0.836,9.44
5.584,-7.695,0.839,9.8
5.549,-7.682,0.858,10.04
5.496,-7.667,0.857,10.24
5.432,-7.65,0.854,10.4
5.299,-7.635,0.869,10.64
5.186,-7.601,0.88,10.83
5.066,-7.569,0.899,11.02
4.912,-7.546,0.899,11.25
4.705,-7.519,0.903,11.58
4.623,-7.531,0.903,11.94
4.588,-7.54,0.922,12.15
4.539,-7.519,0.937,12.33
4.472,-7.479,0.928,12.51
4.353,-7.393,0.919,12.77
4.216,-7.318,0.93,13.0
4.061,-7.251,0.946,13.25
3.947,-7.191,0.957,13.43
3.823,-7.14,0.962,13.62
3.649,-7.082,0.972,13.84
3.513,-7.038,0.982,14.03
3.332,-6.975,0.992,14.28
3.186,-6.906,1.001,14.46
3.007,-6.824,1.013,14.68
2.876,-6.757,1.02,14.86
2.734,-6.692,1.026,15.04
2.55,-6.614,1.038,15.28
2.411,-6.551,1.048,15.44
2.246,-6.489,1.057,15.7
2.173,-6.462,1.058,15.91
2.137,-6.455,1.06,16.19
2.131,-6.453,1.076,16.44
2.108,-6.424,1.076,16.61
2.063,-6.362,1.057,16.79
1.959,-6.263,1.076,17.02
1.874,-6.173,1.092,17.21
1.792,-6.091,1.114,17.4
1.676,-5.992,1.139,17.64
1.55,-5.914,1.171,17.86
1.413,-5.857,1.205,18.11
1.315,-5.816,1.232,18.29
1.183,-5.788,1.25,18.51
1.001,-5.762,1.251,18.84
0.963,-5.788,1.256,19.15
0.949,-5.831,1.259,19.31
0.909,-5.839,1.298,19.46
0.868,-5.849,1.315,19.63
0.798,-5.833,1.326,19.82
0.738,-5.801,1.319,19.97
0.68,-5.714,1.308,20.12
0.622,-5.596,1.318,20.27
0.583,-5.434,1.308,20.45
0.569,-5.242,1.266,20.66
0.559,-5.069,1.273,20.82
0.552,-4.907,1.268,20.99
0.535,-4.769,1.264,21.16
0.545,-4.624,1.264,21.36
0.541,-4.499,1.263,21.54
0.504,-4.371,1.261,21.73
0.478,-4.283,1.266,21.9
0.427,-4.178,1.26,22.09
0.371,-4.099,1.252,22.23
0.291,-3.974,1.276,22.45
0.246,-3.832,1.295,22.65
0.2,-3.644,1.288,22.89
0.185,-3.484,1.296,23.09
0.188,-3.325,1.293,23.27
0.157,-3.133,1.285,23.46
0.127,-2.974,1.288,23.61
0.099,-2.834,1.277,23.77
0.068,-2.675,1.259,23.94
0.033,-2.49,1.256,24.11
0.033,-2.242,1.263,24.36
0.038,-2.083,1.241,24.57
0.004,-1.928,1.228,24.77
-0.047,-1.757,1.24,25.01
-0.09,-1.62,1.248,25.17
-0.124,-1.428,1.249,25.38
-0.14,-1.217,1.248,25.62
-0.171,-1.012,1.254,25.83
-0.219,-0.807,1.242,26.05
-0.25,-0.601,1.244,26.26
-0.291,-0.41,1.223,26.48
-0.325,-0.261,1.203,26.65
-0.388,-0.106,1.19,26.83
-0.442,0.062,1.186,26.98
-0.486,0.221,1.16,27.14
-0.551,0.424,1.13,27.33
-0.549,0.611,1.159,27.55
-0.504,0.772,1.17,27.83
-0.531,0.875,1.165,28.05
-0.596,0.958,1.129,28.24
-0.637,1.113,1.15,28.47
-0.649,1.269,1.151,28.65
-0.687,1.423,1.138,28.82
-0.771,1.568,1.123,29.0
-0.872,1.78,1.142,29.27
-0.894,1.872,1.15,29.44
-0.917,1.961,1.144,29.61
-0.926,2.032,1.166,29.79
-0.951,2.064,1.195,29.96
-0.999,2.069,1.189,30.13
-1.052,2.082,1.183,30.31
-1.131,2.101,1.162,30.5
-1.234,2.158,1.185,30.68
-1.308,2.24,1.205,30.86
-1.394,2.371,1.206,31.08
-1.473,2.497,1.203,31.26
-1.568,2.625,1.204,31.44
-1.685,2.785,1.171,31.67
-1.793,2.919,1.142,31.84
-1.9,3.052,1.103,32.01
-2.029,3.179,1.052,32.18
-2.191,3.357,1.012,32.39
-2.352,3.507,1.007,32.62
-2.463,3.64,1.017,32.79
-2.563,3.777,1.045,32.97
-2.678,3.911,1.055,33.16
-2.829,4.07,1.027,33.38
-2.951,4.207,0.981,33.57
-3.061,4.412,0.965,33.88
-3.102,4.56,0.968,34.18
-3.165,4.636,0.928,34.38
-3.264,4.717,0.901,34.56
-3.37,4.844,0.893,34.73
-3.489,4.974,0.899,34.91
-3.639,5.16,0.914,35.15
-3.756,5.324,0.919,35.33
-3.873,5.475,0.916,35.53
-3.981,5.613,0.91,35.71
-4.106,5.74,0.9,35.9
-4.224,5.866,0.881,36.08
-4.395,6.014,0.898,36.37
-4.483,6.083,0.886,36.57
-4.568,6.165,0.913,36.8
-4.652,6.203,0.899,36.96
-4.769,6.228,0.883,37.12
-4.907,6.249,0.892,37.29
-5.04,6.3,0.903,37.46
-5.213,6.398,0.909,37.67
-5.368,6.483,0.901,37.86
-5.536,6.612,0.913,38.12
-5.704,6.727,0.919,38.45
-5.742,6.784,0.911,38.69
-5.764,6.787,0.943,38.94
-5.797,6.77,0.953,39.11
-5.857,6.761,0.949,39.27
-5.952,6.772,0.931,39.43
-6.082,6.803,0.942,39.6
-6.249,6.844,0.958,39.8
-6.386,6.94,0.97,40.06
-6.472,6.989,0.957,40.32
-6.497,6.971,0.96,40.62
-6.478,6.941,0.966,40.85
-6.464,6.932,0.986,41.05
-6.468,6.916,1.021,41.25
-6.484,6.885,1.036,41.46
-6.52,6.861,1.041,41.63
-6.574,6.827,1.034,41.8
-6.687,6.791,1.021,41.99
-6.781,6.75,1.049,42.14
-6.866,6.71,1.062,42.3
-6.94,6.672,1.065,42.44
-7.003,6.684,1.083,42.73
-6.987,6.69,1.078,43.04
-6.903,6.716,1.061,43.3
-6.79,6.773,1.042,43.58
-6.705,6.844,1.026,43.83
-6.606,6.952,0.99,44.18
-6.546,7.048,0.969,44.47
-6.512,7.128,0.951,44.73
-6.491,7.213,0.937,45.03
-6.465,7.263,0.94,45.23
-6.431,7.263,0.938,45.4
-6.378,7.233,0.923,45.56
-6.319,7.175,0.927,45.74
-6.264,7.106,0.934,45.91
-6.188,7.0,0.94,46.13
-6.149,6.938,0.942,46.25
-6.084,6.835,0.943,46.5
-5.998,6.732,0.945,46.71
-5.929,6.649,0.945,46.88
-5.864,6.575,0.941,47.06
-5.772,6.476,0.94,47.31
-5.66,6.363,0.944,47.53
-5.589,6.247,0.94,47.71
-5.529,6.12,0.948,47.87
-5.473,6.001,0.955,48.04
-5.415,5.895,0.974,48.2
-5.353,5.809,0.99,48.37
-5.291,5.742,0.996,48.54
-5.223,5.673,0.992,48.7
-5.158,5.589,0.993,48.87
-5.087,5.499,0.998,49.04
-5.017,5.404,1.009,49.2
-4.941,5.282,1.033,49.41
-4.88,5.201,1.044,49.57
-4.845,5.131,1.057,49.72
-4.802,5.048,1.063,49.91
-4.751,4.957,1.051,50.11
-4.686,4.852,1.04,50.31
-4.631,4.751,1.034,50.47
-4.586,4.598,1.026,50.71
-4.533,4.508,1.013,50.96
-4.473,4.463,1.009,51.13
-4.423,4.408,1.01,51.3
-4.374,4.339,1.011,51.53
-4.289,4.263,1.009,51.74
-4.197,4.204,1.001,51.91
-4.075,4.11,0.999,52.15
-3.997,4.015,1.009,52.32
-3.919,3.92,1.02,52.51
-3.82,3.809,1.021,52.72
-3.754,3.712,1.03,52.89
-3.692,3.577,1.049,53.1
-3.64,3.466,1.067,53.27
-3.581,3.347,1.088,53.51
-3.547,3.317,1.085,53.67
-3.503,3.274,1.08,53.84
